Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
WARNING:tensorflow:From cifar10_train.py:81 in train.: all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2016-03-02.
Instructions for updating:
Please use tf.global_variables instead.
2016-12-08 17:43:23.322993: step 0, loss = 4.68 (27.8 examples/sec; 4.610 sec/batch)
2016-12-08 17:43:25.346033: step 10, loss = 4.63 (1153.8 examples/sec; 0.111 sec/batch)
2016-12-08 17:43:26.451970: step 20, loss = 4.46 (1157.2 examples/sec; 0.111 sec/batch)
2016-12-08 17:43:27.760034: step 30, loss = 4.45 (840.3 examples/sec; 0.152 sec/batch)
2016-12-08 17:43:29.138820: step 40, loss = 4.76 (1021.6 examples/sec; 0.125 sec/batch)
2016-12-08 17:43:30.393133: step 50, loss = 4.20 (1095.9 examples/sec; 0.117 sec/batch)
2016-12-08 17:43:31.645848: step 60, loss = 4.20 (927.8 examples/sec; 0.138 sec/batch)
2016-12-08 17:43:32.765914: step 70, loss = 4.33 (1211.9 examples/sec; 0.106 sec/batch)
2016-12-08 17:43:33.892059: step 80, loss = 4.12 (1070.9 examples/sec; 0.120 sec/batch)
2016-12-08 17:43:35.051051: step 90, loss = 4.16 (1020.6 examples/sec; 0.125 sec/batch)
2016-12-08 17:43:36.173813: step 100, loss = 4.09 (1127.1 examples/sec; 0.114 sec/batch)
2016-12-08 17:43:37.501037: step 110, loss = 4.08 (1105.3 examples/sec; 0.116 sec/batch)
2016-12-08 17:43:38.626177: step 120, loss = 4.16 (1144.7 examples/sec; 0.112 sec/batch)
2016-12-08 17:43:39.774630: step 130, loss = 4.14 (1070.9 examples/sec; 0.120 sec/batch)
2016-12-08 17:43:40.884116: step 140, loss = 4.05 (1147.4 examples/sec; 0.112 sec/batch)
2016-12-08 17:43:42.013734: step 150, loss = 3.84 (1142.9 examples/sec; 0.112 sec/batch)
2016-12-08 17:43:43.164859: step 160, loss = 4.06 (1142.7 examples/sec; 0.112 sec/batch)
2016-12-08 17:43:44.350810: step 170, loss = 3.84 (924.8 examples/sec; 0.138 sec/batch)
2016-12-08 17:43:45.421589: step 180, loss = 3.71 (1121.8 examples/sec; 0.114 sec/batch)
2016-12-08 17:43:46.576640: step 190, loss = 3.84 (1117.2 examples/sec; 0.115 sec/batch)
2016-12-08 17:43:47.747579: step 200, loss = 3.76 (1066.6 examples/sec; 0.120 sec/batch)
2016-12-08 17:43:49.036845: step 210, loss = 3.72 (1251.6 examples/sec; 0.102 sec/batch)
2016-12-08 17:43:50.147918: step 220, loss = 3.89 (1167.3 examples/sec; 0.110 sec/batch)
2016-12-08 17:43:51.277615: step 230, loss = 3.76 (1180.1 examples/sec; 0.108 sec/batch)
2016-12-08 17:43:52.393483: step 240, loss = 3.54 (1196.6 examples/sec; 0.107 sec/batch)
2016-12-08 17:43:53.496444: step 250, loss = 4.10 (1145.4 examples/sec; 0.112 sec/batch)
2016-12-08 17:43:54.618232: step 260, loss = 3.79 (1190.3 examples/sec; 0.108 sec/batch)
2016-12-08 17:43:55.864099: step 270, loss = 3.67 (964.0 examples/sec; 0.133 sec/batch)
2016-12-08 17:43:57.132551: step 280, loss = 3.74 (894.2 examples/sec; 0.143 sec/batch)
2016-12-08 17:43:58.302942: step 290, loss = 3.63 (1034.6 examples/sec; 0.124 sec/batch)
2016-12-08 17:43:59.442606: step 300, loss = 3.70 (1191.7 examples/sec; 0.107 sec/batch)
2016-12-08 17:44:00.777045: step 310, loss = 3.36 (1214.1 examples/sec; 0.105 sec/batch)
2016-12-08 17:44:01.875650: step 320, loss = 3.53 (1195.7 examples/sec; 0.107 sec/batch)
2016-12-08 17:44:02.987278: step 330, loss = 3.44 (1160.5 examples/sec; 0.110 sec/batch)
2016-12-08 17:44:04.144152: step 340, loss = 3.42 (1139.9 examples/sec; 0.112 sec/batch)
2016-12-08 17:44:05.205712: step 350, loss = 3.34 (1218.8 examples/sec; 0.105 sec/batch)
2016-12-08 17:44:06.366973: step 360, loss = 3.51 (1119.1 examples/sec; 0.114 sec/batch)
2016-12-08 17:44:07.473500: step 370, loss = 3.24 (1173.2 examples/sec; 0.109 sec/batch)
2016-12-08 17:44:08.613609: step 380, loss = 3.34 (1122.4 examples/sec; 0.114 sec/batch)
2016-12-08 17:44:09.679829: step 390, loss = 3.30 (1162.3 examples/sec; 0.110 sec/batch)
2016-12-08 17:44:10.821107: step 400, loss = 3.54 (1125.0 examples/sec; 0.114 sec/batch)
