Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
WARNING:tensorflow:From cifar10_train.py:81 in train.: all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2016-03-02.
Instructions for updating:
Please use tf.global_variables instead.
2016-12-08 17:39:38.243636: step 0, loss = 4.67 (28.6 examples/sec; 4.482 sec/batch)
2016-12-08 17:39:40.271798: step 10, loss = 4.61 (1129.4 examples/sec; 0.113 sec/batch)
2016-12-08 17:39:41.366702: step 20, loss = 4.43 (1115.0 examples/sec; 0.115 sec/batch)
2016-12-08 17:39:42.513110: step 30, loss = 4.31 (1171.9 examples/sec; 0.109 sec/batch)
2016-12-08 17:39:43.667909: step 40, loss = 4.31 (1151.0 examples/sec; 0.111 sec/batch)
2016-12-08 17:39:44.972333: step 50, loss = 4.36 (894.9 examples/sec; 0.143 sec/batch)
2016-12-08 17:39:46.538277: step 60, loss = 4.21 (794.9 examples/sec; 0.161 sec/batch)
2016-12-08 17:39:47.922114: step 70, loss = 4.26 (830.7 examples/sec; 0.154 sec/batch)
2016-12-08 17:39:49.183149: step 80, loss = 4.08 (1111.1 examples/sec; 0.115 sec/batch)
2016-12-08 17:39:50.463330: step 90, loss = 4.50 (993.7 examples/sec; 0.129 sec/batch)
2016-12-08 17:39:51.695048: step 100, loss = 4.26 (1097.5 examples/sec; 0.117 sec/batch)
2016-12-08 17:39:53.040488: step 110, loss = 4.06 (1143.0 examples/sec; 0.112 sec/batch)
2016-12-08 17:39:54.214826: step 120, loss = 4.37 (1109.7 examples/sec; 0.115 sec/batch)
2016-12-08 17:39:55.386496: step 130, loss = 4.07 (1043.7 examples/sec; 0.123 sec/batch)
2016-12-08 17:39:56.521216: step 140, loss = 4.02 (1071.9 examples/sec; 0.119 sec/batch)
2016-12-08 17:39:57.658886: step 150, loss = 4.09 (1109.0 examples/sec; 0.115 sec/batch)
2016-12-08 17:39:58.856712: step 160, loss = 4.08 (1109.8 examples/sec; 0.115 sec/batch)
2016-12-08 17:40:00.082005: step 170, loss = 3.78 (1050.5 examples/sec; 0.122 sec/batch)
2016-12-08 17:40:01.290456: step 180, loss = 3.82 (1144.6 examples/sec; 0.112 sec/batch)
2016-12-08 17:40:02.468703: step 190, loss = 3.94 (1095.7 examples/sec; 0.117 sec/batch)
2016-12-08 17:40:03.636387: step 200, loss = 3.76 (1094.1 examples/sec; 0.117 sec/batch)
2016-12-08 17:40:05.042737: step 210, loss = 3.85 (1211.4 examples/sec; 0.106 sec/batch)
2016-12-08 17:40:06.192380: step 220, loss = 3.79 (1104.3 examples/sec; 0.116 sec/batch)
2016-12-08 17:40:07.345347: step 230, loss = 3.83 (1091.5 examples/sec; 0.117 sec/batch)
2016-12-08 17:40:08.502289: step 240, loss = 3.91 (1088.3 examples/sec; 0.118 sec/batch)
2016-12-08 17:40:09.627529: step 250, loss = 3.63 (1089.7 examples/sec; 0.117 sec/batch)
2016-12-08 17:40:10.810894: step 260, loss = 3.50 (1092.3 examples/sec; 0.117 sec/batch)
